leer(Barium),A(blei),B,C,D,E
E_A#1 / keV	N_A#1	E_A#2 / keV	N_A#2	E_A#3 / keV	N_A#3	E_A#4 / keV	N_A#4	E_A#5 / keV	N_A#5	E_A#6 / keV	N_A#6
772,9	0	772,9	1	772,9	1	772,9	2	772,9	0	772,9	2
773,9	2	773,9	0	773,9	0	773,9	0	773,9	0	773,9	0
775,0	1	775,0	1	775,0	1	775,0	0	775,0	2	775,0	0
776,0	1	776,0	1	776,0	1	776,0	1	776,0	0	776,0	2
777,1	1	777,1	1	777,1	0	777,1	0	777,1	0	777,1	1
778,1	1	778,1	2	778,1	1	778,1	1	778,1	0	778,1	1
779,1	1	779,1	0	779,1	0	779,1	1	779,1	1	779,1	0
780,2	1	780,2	0	780,2	1	780,2	0	780,2	2	780,2	0
781,2	0	781,2	1	781,2	0	781,2	2	781,2	1	781,2	3
782,3	0	782,3	0	782,3	0	782,3	2	782,3	0	782,3	1
783,3	0	783,3	0	783,3	0	783,3	0	783,3	2	783,3	0
784,3	0	784,3	0	784,3	1	784,3	0	784,3	1	784,3	2
785,4	2	785,4	0	785,4	2	785,4	1	785,4	2	785,4	1
786,4	1	786,4	1	786,4	1	786,4	2	786,4	1	786,4	2
787,5	2	787,5	2	787,5	0	787,5	0	787,5	0	787,5	0
788,5	0	788,5	0	788,5	1	788,5	1	788,5	0	788,5	1
789,5	0	789,5	0	789,5	1	789,5	1	789,5	1	789,5	1
790,6	0	790,6	0	790,6	0	790,6	1	790,6	0	790,6	1
791,6	0	791,6	0	791,6	1	791,6	2	791,6	1	791,6	0
792,6	1	792,6	1	792,6	0	792,6	1	792,6	0	792,6	0
793,7	0	793,7	1	793,7	1	793,7	0	793,7	1	793,7	0
794,7	0	794,7	0	794,7	1	794,7	0	794,7	2	794,7	0
795,8	2	795,8	0	795,8	0	795,8	0	795,8	1	795,8	1
796,8	1	796,8	3	796,8	0	796,8	1	796,8	0	796,8	1
797,8	0	797,8	1	797,8	1	797,8	0	797,8	0	797,8	1
798,9	0	798,9	1	798,9	0	798,9	1	798,9	2	798,9	0
799,9	1	799,9	0	799,9	3	799,9	0	799,9	1	799,9	0
801,0	1	801,0	2	801,0	0	801,0	2	801,0	1	801,0	1
802,0	0	802,0	0	802,0	0	802,0	2	802,0	1	802,0	0
803,0	0	803,0	2	803,0	0	803,0	1	803,0	0	803,0	2
804,1	1	804,1	0	804,1	1	804,1	1	804,1	0	804,1	2
805,1	0	805,1	0	805,1	0	805,1	0	805,1	2	805,1	0
806,2	0	806,2	0	806,2	1	806,2	0	806,2	2	806,2	3
807,2	1	807,2	1	807,2	0	807,2	1	807,2	1	807,2	0
808,2	0	808,2	2	808,2	1	808,2	0	808,2	0	808,2	0
809,3	0	809,3	0	809,3	1	809,3	0	809,3	0	809,3	2
810,3	1	810,3	1	810,3	0	810,3	1	810,3	0	810,3	0
811,3	0	811,3	0	811,3	2	811,3	1	811,3	1	811,3	1
812,4	1	812,4	1	812,4	0	812,4	0	812,4	2	812,4	0
813,4	0	813,4	2	813,4	1	813,4	1	813,4	1	813,4	0
814,5	0	814,5	0	814,5	0	814,5	0	814,5	2	814,5	2
815,5	2	815,5	1	815,5	1	815,5	0	815,5	2	815,5	0
816,5	1	816,5	0	816,5	2	816,5	1	816,5	0	816,5	0
817,6	0	817,6	2	817,6	1	817,6	0	817,6	0	817,6	0
818,6	0	818,6	1	818,6	1	818,6	1	818,6	2	818,6	1
819,7	0	819,7	2	819,7	1	819,7	0	819,7	0	819,7	1
820,7	0	820,7	0	820,7	0	820,7	1	820,7	0	820,7	0
821,7	0	821,7	1	821,7	0	821,7	1	821,7	0	821,7	1
822,8	1	822,8	0	822,8	0	822,8	2	822,8	0	822,8	3
823,8	0	823,8	1	823,8	0	823,8	2	823,8	2	823,8	1
824,9	1	824,9	1	824,9	1	824,9	1	824,9	1	824,9	2
825,9	0	825,9	1	825,9	0	825,9	0	825,9	0	825,9	0
826,9	0	826,9	0	826,9	0	826,9	0	826,9	0	826,9	1
828,0	1	828,0	0	828,0	0	828,0	1	828,0	1	828,0	0
829,0	0	829,0	1	829,0	1	829,0	0	829,0	2	829,0	0
830,0	1	830,0	0	830,0	1	830,0	1	830,0	1	830,0	0
831,1	0	831,1	0	831,1	0	831,1	1	831,1	1	831,1	0
832,1	0	832,1	1	832,1	1	832,1	0	832,1	0	832,1	0
833,2	0	833,2	0	833,2	0	833,2	0	833,2	0	833,2	0
834,2	0	834,2	0	834,2	1	834,2	1	834,2	0	834,2	1
835,2	0	835,2	0	835,2	1	835,2	0	835,2	0	835,2	0
836,3	0	836,3	1	836,3	1	836,3	0	836,3	0	836,3	0
837,3	0	837,3	0	837,3	0	837,3	0	837,3	0	837,3	0
838,4	0	838,4	0	838,4	0	838,4	1	838,4	1	838,4	1
839,4	0	839,4	2	839,4	0	839,4	0	839,4	0	839,4	0
840,4	3	840,4	0	840,4	1	840,4	0	840,4	0	840,4	0
841,5	0	841,5	1	841,5	0	841,5	1	841,5	0	841,5	1
842,5	0	842,5	0	842,5	0	842,5	1	842,5	1	842,5	1
843,6	0	843,6	0	843,6	0	843,6	0	843,6	0	843,6	0
844,6	3	844,6	0	844,6	1	844,6	0	844,6	0	844,6	0
845,6	0	845,6	0	845,6	1	845,6	0	845,6	0	845,6	1
846,7	0	846,7	0	846,7	1	846,7	0	846,7	0	846,7	1
847,7	0	847,7	0	847,7	1	847,7	0	847,7	0	847,7	0
848,7	0	848,7	2	848,7	1	848,7	1	848,7	1	848,7	0
849,8	0	849,8	1	849,8	1	849,8	0	849,8	2	849,8	0
850,8	1	850,8	0	850,8	0	850,8	0	850,8	0	850,8	1
851,9	0	851,9	0	851,9	1	851,9	0	851,9	0	851,9	0
852,9	1	852,9	1	852,9	2	852,9	2	852,9	0	852,9	0
853,9	0	853,9	0	853,9	1	853,9	1	853,9	1	853,9	0
855,0	0	855,0	0	855,0	0	855,0	0	855,0	1	855,0	1
856,0	1	856,0	1	856,0	0	856,0	0	856,0	0	856,0	2
857,1	0	857,1	0	857,1	1	857,1	1	857,1	1	857,1	1
858,1	1	858,1	1	858,1	0	858,1	1	858,1	1	858,1	1
859,1	0	859,1	0	859,1	0	859,1	1	859,1	0	859,1	1
860,2	1	860,2	0	860,2	0	860,2	0	860,2	1	860,2	0
861,2	1	861,2	1	861,2	0	861,2	1	861,2	1	861,2	0
862,3	1	862,3	0	862,3	0	862,3	0	862,3	0	862,3	1
863,3	0	863,3	0	863,3	1	863,3	0	863,3	0	863,3	0
864,3	0	864,3	1	864,3	1	864,3	0	864,3	1	864,3	0
865,4	0	865,4	0	865,4	0	865,4	0	865,4	0	865,4	0
866,4	0	866,4	0	866,4	1	866,4	1	866,4	3	866,4	1
867,4	1	867,4	0	867,4	0	867,4	0	867,4	0	867,4	1
868,5	0	868,5	1	868,5	1	868,5	0	868,5	0	868,5	0
869,5	0	869,5	0	869,5	1	869,5	0	869,5	0	869,5	0
870,6	0	870,6	0	870,6	2	870,6	0	870,6	0	870,6	0
871,6	0	871,6	0	871,6	1	871,6	0	871,6	0	871,6	0
872,6	0	872,6	0	872,6	0	872,6	0	872,6	0	872,6	1
873,7	0	873,7	0	873,7	0	873,7	1	873,7	0	873,7	1
874,7	1	874,7	0	874,7	0	874,7	0	874,7	2	874,7	1
875,8	1	875,8	0	875,8	1	875,8	0	875,8	0	875,8	0
876,8	0	876,8	1	876,8	0	876,8	0	876,8	0	876,8	1
877,8	0	877,8	0	877,8	1	877,8	1	877,8	1	877,8	0
878,9	2	878,9	0	878,9	0	878,9	0	878,9	1	878,9	0
879,9	0	879,9	0	879,9	0	879,9	0	879,9	0	879,9	0
881,0	0	881,0	1	881,0	1	881,0	1	881,0	0	881,0	0
882,0	0	882,0	0	882,0	0	882,0	0	882,0	0	882,0	1
883,0	0	883,0	0	883,0	0	883,0	0	883,0	0	883,0	0
884,1	1	884,1	1	884,1	2	884,1	0	884,1	0	884,1	0
885,1	0	885,1	1	885,1	0	885,1	0	885,1	0	885,1	1
886,1	0	886,1	0	886,1	0	886,1	0	886,1	0	886,1	0
887,2	2	887,2	0	887,2	1	887,2	0	887,2	0	887,2	1
888,2	0	888,2	1	888,2	0	888,2	0	888,2	0	888,2	0
889,3	0	889,3	0	889,3	2	889,3	0	889,3	1	889,3	0
890,3	1	890,3	0	890,3	0	890,3	0	890,3	0	890,3	0
891,3	0	891,3	0	891,3	0	891,3	0	891,3	0	891,3	0
892,4	1	892,4	0	892,4	0	892,4	1	892,4	1	892,4	1
893,4	0	893,4	0	893,4	0	893,4	0	893,4	0	893,4	0
894,5	0	894,5	0	894,5	0	894,5	0	894,5	0	894,5	0
895,5	0	895,5	1	895,5	0	895,5	0	895,5	0	895,5	0
896,5	1	896,5	0	896,5	2	896,5	0	896,5	0	896,5	0
897,6	0	897,6	0	897,6	0	897,6	0	897,6	0	897,6	0
898,6	0	898,6	0	898,6	0	898,6	0	898,6	0	898,6	0
899,6	0	899,6	0	899,6	1	899,6	0	899,6	0	899,6	2
900,7	0	900,7	0	900,7	1	900,7	2	900,7	0	900,7	1
901,7	2	901,7	0	901,7	0	901,7	0	901,7	0	901,7	0
902,8	0	902,8	1	902,8	2	902,8	0	902,8	0	902,8	0
903,8	1	903,8	1	903,8	0	903,8	0	903,8	0	903,8	0
904,8	0	904,8	1	904,8	0	904,8	0	904,8	1	904,8	0
905,9	0	905,9	1	905,9	0	905,9	1	905,9	0	905,9	0
906,9	1	906,9	1	906,9	1	906,9	1	906,9	0	906,9	0
908,0	0	908,0	0	908,0	0	908,0	0	908,0	1	908,0	0
909,0	0	909,0	1	909,0	1	909,0	2	909,0	0	909,0	0
910,0	1	910,0	0	910,0	0	910,0	0	910,0	0	910,0	0
911,1	0	911,1	1	911,1	0	911,1	0	911,1	0	911,1	0
912,1	0	912,1	0	912,1	0	912,1	0	912,1	0	912,1	3
913,2	0	913,2	0	913,2	1	913,2	0	913,2	0	913,2	0
914,2	1	914,2	0	914,2	0	914,2	0	914,2	0	914,2	0
915,2	1	915,2	0	915,2	0	915,2	1	915,2	0	915,2	1
916,3	0	916,3	1	916,3	0	916,3	2	916,3	3	916,3	0
917,3	0	917,3	0	917,3	0	917,3	0	917,3	1	917,3	0
918,3	1	918,3	0	918,3	0	918,3	1	918,3	0	918,3	1
919,4	1	919,4	0	919,4	0	919,4	0	919,4	1	919,4	0
920,4	0	920,4	0	920,4	2	920,4	0	920,4	0	920,4	0
921,5	1	921,5	1	921,5	1	921,5	1	921,5	0	921,5	0
922,5	0	922,5	0	922,5	2	922,5	0	922,5	0	922,5	0
923,5	0	923,5	0	923,5	0	923,5	0	923,5	2	923,5	0
924,6	1	924,6	0	924,6	1	924,6	1	924,6	0	924,6	0
925,6	0	925,6	1	925,6	1	925,6	0	925,6	0	925,6	0
926,7	0	926,7	0	926,7	0	926,7	0	926,7	0	926,7	1
927,7	0	927,7	1	927,7	0	927,7	0	927,7	0	927,7	0
928,7	0	928,7	0	928,7	0	928,7	0	928,7	0	928,7	0
929,8	0	929,8	0	929,8	0	929,8	1	929,8	1	929,8	0
930,8	1	930,8	0	930,8	0	930,8	0	930,8	2	930,8	0
931,9	0	931,9	0	931,9	0	931,9	1	931,9	0	931,9	0
932,9	2	932,9	0	932,9	0	932,9	1	932,9	1	932,9	1
933,9	0	933,9	0	933,9	0	933,9	0	933,9	0	933,9	0
935,0	1	935,0	1	935,0	0	935,0	0	935,0	0	935,0	0
936,0	0	936,0	0	936,0	0	936,0	0	936,0	0	936,0	1
937,0	0	937,0	2	937,0	1	937,0	0	937,0	1	937,0	0
938,1	1	938,1	0	938,1	2	938,1	0	938,1	0	938,1	0
939,1	0	939,1	1	939,1	0	939,1	2	939,1	0	939,1	0
940,2	0	940,2	0	940,2	0	940,2	0	940,2	0	940,2	1
941,2	0	941,2	1	941,2	1	941,2	0	941,2	0	941,2	0
942,2	0	942,2	0	942,2	0	942,2	0	942,2	0	942,2	2
943,3	0	943,3	0	943,3	0	943,3	0	943,3	5	943,3	0
944,3	1	944,3	0	944,3	0	944,3	1	944,3	0	944,3	3
945,4	1	945,4	0	945,4	1	945,4	0	945,4	0	945,4	0
946,4	1	946,4	0	946,4	0	946,4	0	946,4	0	946,4	0
947,4	1	947,4	0	947,4	1	947,4	0	947,4	2	947,4	0
948,5	0	948,5	1	948,5	1	948,5	0	948,5	0	948,5	0
949,5	0	949,5	1	949,5	0	949,5	0	949,5	0	949,5	0
950,6	0	950,6	0	950,6	0	950,6	1	950,6	0	950,6	1
951,6	1	951,6	0	951,6	1	951,6	0	951,6	0	951,6	1
952,6	1	952,6	1	952,6	1	952,6	2	952,6	1	952,6	0
953,7	2	953,7	2	953,7	0	953,7	1	953,7	0	953,7	1
954,7	0	954,7	0	954,7	0	954,7	1	954,7	0	954,7	1
955,7	1	955,7	0	955,7	0	955,7	1	955,7	0	955,7	0
956,8	0	956,8	0	956,8	0	956,8	1	956,8	0	956,8	0
957,8	2	957,8	1	957,8	0	957,8	0	957,8	3	957,8	0
958,9	2	958,9	4	958,9	0	958,9	1	958,9	0	958,9	0
959,9	0	959,9	1	959,9	2	959,9	0	959,9	1	959,9	0
960,9	2	960,9	0	960,9	0	960,9	0	960,9	1	960,9	1
962,0	0	962,0	1	962,0	1	962,0	0	962,0	0	962,0	0
963,0	1	963,0	0	963,0	0	963,0	0	963,0	0	963,0	0
964,1	0	964,1	2	964,1	0	964,1	2	964,1	0	964,1	1
965,1	1	965,1	2	965,1	1	965,1	0	965,1	1	965,1	0
966,1	0	966,1	0	966,1	1	966,1	0	966,1	0	966,1	1
967,2	0	967,2	0	967,2	0	967,2	1	967,2	1	967,2	1
968,2	0	968,2	0	968,2	1	968,2	2	968,2	0	968,2	1
969,3	0	969,3	0	969,3	2	969,3	1	969,3	0	969,3	0
970,3	0	970,3	0	970,3	3	970,3	0	970,3	1	970,3	0
971,3	1	971,3	0	971,3	0	971,3	0	971,3	0	971,3	1
972,4	0	972,4	1	972,4	0	972,4	1	972,4	1	972,4	0
973,4	0	973,4	0	973,4	0	973,4	1	973,4	0	973,4	0
974,4	0	974,4	0	974,4	1	974,4	0	974,4	0	974,4	0
975,5	4	975,5	0	975,5	0	975,5	0	975,5	1	975,5	1
976,5	0	976,5	0	976,5	0	976,5	2	976,5	0	976,5	1
977,6	0	977,6	1	977,6	2	977,6	0	977,6	1	977,6	1
978,6	0	978,6	0	978,6	0	978,6	1	978,6	1	978,6	0
979,6	0	979,6	1	979,6	0	979,6	0	979,6	0	979,6	1
980,7	1	980,7	1	980,7	0	980,7	1	980,7	1	980,7	1
981,7	2	981,7	2	981,7	0	981,7	1	981,7	0	981,7	0
982,8	1	982,8	0	982,8	1	982,8	3	982,8	0	982,8	0
983,8	0	983,8	1	983,8	2	983,8	0	983,8	0	983,8	0
984,8	1	984,8	2	984,8	1	984,8	1	984,8	0	984,8	1
985,9	1	985,9	0	985,9	3	985,9	0	985,9	0	985,9	0
986,9	0	986,9	1	986,9	0	986,9	2	986,9	0	986,9	4
988,0	0	988,0	1	988,0	1	988,0	0	988,0	1	988,0	1
989,0	0	989,0	0	989,0	2	989,0	0	989,0	0	989,0	1
990,0	0	990,0	0	990,0	0	990,0	1	990,0	0	990,0	0
991,1	1	991,1	0	991,1	0	991,1	2	991,1	1	991,1	0
992,1	0	992,1	1	992,1	0	992,1	1	992,1	1	992,1	2
993,1	1	993,1	0	993,1	0	993,1	0	993,1	0	993,1	1
994,2	2	994,2	1	994,2	1	994,2	0	994,2	0	994,2	0
995,2	2	995,2	1	995,2	0	995,2	1	995,2	0	995,2	1
996,3	0	996,3	0	996,3	0	996,3	0	996,3	1	996,3	1
997,3	1	997,3	1	997,3	1	997,3	0	997,3	0	997,3	0
998,3	1	998,3	0	998,3	0	998,3	0	998,3	0	998,3	1
999,4	0	999,4	0	999,4	1	999,4	0	999,4	0	999,4	2
1000,4	1	1000,4	0	1000,4	0	1000,4	1	1000,4	1	1000,4	3
1001,5	0	1001,5	0	1001,5	0	1001,5	0	1001,5	1	1001,5	1
1002,5	2	1002,5	1	1002,5	0	1002,5	1	1002,5	0	1002,5	0
1003,5	1	1003,5	0	1003,5	2	1003,5	0	1003,5	1	1003,5	0
1004,6	0	1004,6	1	1004,6	0	1004,6	0	1004,6	0	1004,6	0
1005,6	0	1005,6	0	1005,6	0	1005,6	1	1005,6	0	1005,6	1
1006,7	0	1006,7	0	1006,7	1	1006,7	1	1006,7	0	1006,7	0
1007,7	0	1007,7	0	1007,7	1	1007,7	0	1007,7	0	1007,7	0
1008,7	1	1008,7	0	1008,7	0	1008,7	0	1008,7	0	1008,7	1
1009,8	1	1009,8	0	1009,8	1	1009,8	0	1009,8	0	1009,8	0
1010,8	2	1010,8	0	1010,8	0	1010,8	0	1010,8	0	1010,8	0
1011,8	1	1011,8	0	1011,8	0	1011,8	0	1011,8	0	1011,8	0
1012,9	0	1012,9	0	1012,9	0	1012,9	1	1012,9	0	1012,9	2
1013,9	0	1013,9	0	1013,9	0	1013,9	0	1013,9	1	1013,9	0
1015,0	0	1015,0	0	1015,0	0	1015,0	0	1015,0	0	1015,0	0
1016,0	1	1016,0	0	1016,0	0	1016,0	0	1016,0	0	1016,0	0
1017,0	1	1017,0	0	1017,0	0	1017,0	0	1017,0	0	1017,0	0
1018,1	0	1018,1	0	1018,1	1	1018,1	0	1018,1	0	1018,1	0
1019,1	0	1019,1	0	1019,1	0	1019,1	0	1019,1	0	1019,1	0
1020,2	0	1020,2	0	1020,2	0	1020,2	0	1020,2	0	1020,2	0
1021,2	0	1021,2	0	1021,2	0	1021,2	0	1021,2	0	1021,2	0
1022,2	0	1022,2	0	1022,2	0	1022,2	0	1022,2	0	1022,2	0
1023,3	0	1023,3	0	1023,3	0	1023,3	0	1023,3	0	1023,3	0
1024,3	1	1024,3	0	1024,3	0	1024,3	0	1024,3	0	1024,3	0
1025,4	1	1025,4	0	1025,4	1	1025,4	2	1025,4	0	1025,4	0
1026,4	0	1026,4	0	1026,4	0	1026,4	0	1026,4	0	1026,4	1
1027,4	0	1027,4	1	1027,4	0	1027,4	0	1027,4	0	1027,4	0
1028,5	1	1028,5	0	1028,5	0	1028,5	0	1028,5	1	1028,5	1
1029,5	0	1029,5	0	1029,5	1	1029,5	0	1029,5	0	1029,5	0
1030,5	0	1030,5	0	1030,5	0	1030,5	0	1030,5	0	1030,5	0
1031,6	0	1031,6	0	1031,6	0	1031,6	0	1031,6	0	1031,6	0
1032,6	0	1032,6	1	1032,6	0	1032,6	0	1032,6	0	1032,6	0
1033,7	0	1033,7	1	1033,7	0	1033,7	0	1033,7	0	1033,7	0
1034,7	0	1034,7	0	1034,7	0	1034,7	0	1034,7	0	1034,7	0
1035,7	0	1035,7	0	1035,7	0	1035,7	0	1035,7	0	1035,7	0
1036,8	0	1036,8	0	1036,8	0	1036,8	0	1036,8	0	1036,8	0
1037,8	0	1037,8	0	1037,8	0	1037,8	0	1037,8	0	1037,8	0
1038,9	0	1038,9	1	1038,9	0	1038,9	0	1038,9	0	1038,9	0
1039,9	0	1039,9	0	1039,9	0	1039,9	0	1039,9	0	1039,9	0
1040,9	1	1040,9	0	1040,9	0	1040,9	0	1040,9	0	1040,9	0
1042,0	0	1042,0	0	1042,0	0	1042,0	1	1042,0	0	1042,0	0
1043,0	0	1043,0	0	1043,0	0	1043,0	0	1043,0	0	1043,0	0
1044,1	0	1044,1	0	1044,1	0	1044,1	0	1044,1	1	1044,1	0
1045,1	0	1045,1	1	1045,1	0	1045,1	0	1045,1	1	1045,1	0
1046,1	1	1046,1	0	1046,1	1	1046,1	0	1046,1	0	1046,1	0
1047,2	0	1047,2	0	1047,2	0	1047,2	0	1047,2	0	1047,2	0
1048,2	0	1048,2	0	1048,2	0	1048,2	0	1048,2	0	1048,2	1
1049,2	0	1049,2	0	1049,2	0	1049,2	0	1049,2	0	1049,2	0
1050,3	1	1050,3	0	1050,3	1	1050,3	0	1050,3	0	1050,3	0
1051,3	0	1051,3	1	1051,3	1	1051,3	2	1051,3	0	1051,3	0
1052,4	0	1052,4	1	1052,4	0	1052,4	1	1052,4	0	1052,4	0
1053,4	1	1053,4	1	1053,4	0	1053,4	0	1053,4	1	1053,4	0
1054,4	0	1054,4	0	1054,4	0	1054,4	0	1054,4	0	1054,4	0
1055,5	0	1055,5	1	1055,5	0	1055,5	0	1055,5	0	1055,5	0
1056,5	0	1056,5	1	1056,5	0	1056,5	0	1056,5	0	1056,5	0
1057,6	0	1057,6	0	1057,6	0	1057,6	0	1057,6	0	1057,6	2
1058,6	0	1058,6	0	1058,6	0	1058,6	0	1058,6	0	1058,6	0
1059,6	1	1059,6	0	1059,6	0	1059,6	0	1059,6	0	1059,6	0
1060,7	0	1060,7	0	1060,7	0	1060,7	0	1060,7	0	1060,7	0
1061,7	0	1061,7	0	1061,7	0	1061,7	1	1061,7	0	1061,7	1
1062,7	62	1062,7	74	1062,7	74	1062,7	66	1062,7	68	1062,7	69
